Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,at,translate,preprocessing,Sentiment
0,5f0eaaaa-4772-419c-b0b1-7e655e99e504,Evin Tangdilomba,https://play-lh.googleusercontent.com/a/ACg8ocJT4oSlzHJxUodRCwo6FiIpDa6gwHJfNBDNyzNfr7hxuRzOSA=mo,"Transaksi nya cukup cepat si. Tapi tidak tersedia untuk laptop dan komputer PC jadi untuk lihat grafik nya susah. Login lewat website juga tidak bisa. Jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer PC nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga. Saya koreksi lagi ratingnya saya turunin ke 1 . Soalnya kaspa koin tidak ada, aplikasi lelet slow respon, padahal jaringan bagus, terus keluhan sebelumnya tidak di perbaiki.",1,314,2.43.5,"Hi Evin Tangdilomba, terima kasih atas saran dan kritik yang diberikan. Kami akan sampaikan ke tim terkait sehingga kedepannya kami dapat menjadi lebih baik lagi. Apabila terdapat hal lain yang dapat kami bantu, mohon untuk tidak ragu menghubungi kami kembali di support.asetkripto@ajaib.co.id ~LS",7/6/2023 8:40,2.43.5,7/3/2024,"The transaction is quite fast. But it is not available for laptops and PC computers so it is difficult to see the graphics. It's also not possible to log in via the website. So my suggestion is to leave the application for laptops and PC computers to make it easier for traders to see price movement charts. I corrected the rating again and lowered it to 1. The problem is that there are no coins, the application is slow to respond, even though the network is good, and the previous complaints were not fixed.","['transaction', 'quite', 'fast', 'available', 'laptops', 'pc', 'computers', 'difficult', 'see', 'graphics', 'also', 'possible', 'log', 'via', 'website', 'suggestion', 'leave', 'application', 'laptops', 'pc', 'computers', 'make', 'easier', 'traders', 'see', 'price', 'movement', 'charts', 'corrected', 'rating', 'lowered', '1', 'problem', 'coins', 'application', 'slow', 'respond', 'even', 'though', 'network', 'good', 'previous', 'complaints', 'fixed']",Negative
1,7446777e-48c0-4e20-affb-8a6482b54a6f,christopher immanuelie,https://play-lh.googleusercontent.com/a/ACg8ocLhpNO0izIGbTHr95MIYBqlStbpEFsW6O7T9c0vJKoBHU1d_Q=mo,"Kalu dibandingkan aplikasi crypto lain, aplikasi ini paling terburuk. Transaksi lama sekali loadingnya, nilai pajak yang paling tinggi dibanding aplikasi lain, dan juga tidak dapat dipantau melalui komputer. Sangat tidak direkomendasi memakai aplikasi ini",1,10,2.46.0,,,2.46.0,12/4/2024,"When compared to other crypto applications, this application is the worst. Transactions take a long time to load, the tax value is the highest compared to other applications, and also cannot be monitored via computer. It is not recommended to use this application","['compared', 'crypto', 'applications', 'application', 'worst', 'transactions', 'take', 'long', 'time', 'load', 'tax', 'value', 'highest', 'compared', 'applications', 'also', 'monitored', 'via', 'computer', 'recommended', 'use', 'application']",Negative
2,39aa3eb3-bcfc-441c-a7ba-09e60d6e062a,Erike Pratama,https://play-lh.googleusercontent.com/a/ACg8ocLA0-_Hi9errimAg54oYmRMdCzUEpfGcPFcgHr56GkuWkAJvw=mo,"Aplikasi sudah di manipulasi agar loss, sekali nya mau jual saat profit sedikit malah gak bisa, harus nunggu sampe loss baru bisa di jual, di pastikan loss.. yg profit yang punya apliksi kayaknya, curang",1,94,2.44.0,,,2.44.0,3/16/2024,"The application has been manipulated to make a loss, once you want to sell it when you have a small profit you can't, you have to wait until you lose before you can sell it, you are guaranteed a loss... those who make a profit who have the application are cheating.","['application', 'manipulated', 'make', 'loss', 'want', 'sell', 'small', 'profit', 'cant', 'wait', 'lose', 'sell', 'guaranteed', 'loss', 'make', 'profit', 'application', 'cheating']",Negative
3,09a6a207-5431-4f27-b301-1e9a3fa3a94b,Andre Haryadi,https://play-lh.googleusercontent.com/a-/ALV-UjWYQS8liPmjhFbp99TXArYO-DzZwI3Lx06t1I4YFt_GM7HQrIA,"Jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangke emang saat market crypto aktif 24 jam bisa""nya perawatan aset cyrpto mana lama lagi jangka perawatannya",1,1,2.46.5,,,2.46.5,4/28/2024,"What's bad is that if the crypto asset maintenance is frozen for maintenance, buying and selling can't be done properly. Indeed, when the crypto market is active 24 hours, how long can maintenance of crypto assets take?","['whats', 'bad', 'crypto', 'asset', 'maintenance', 'frozen', 'maintenance', 'buying', 'selling', 'cant', 'done', 'properly', 'indeed', 'crypto', 'market', 'active', '24', 'hours', 'long', 'maintenance', 'crypto', 'assets', 'take']",Positive
4,c19f599d-ce4f-4145-bb59-8dfd580ac742,Pramodana M. W.,https://play-lh.googleusercontent.com/a-/ALV-UjXFneFjLwafh2a631HiSbRz59dKTERGwMMoiczI26hIArMiakOl,"Pembelian harus ada batas minimal, kirim wallet ada minimalnya juga, narik deposit sebelah juga lama, harga miring jauh dari app lain, bug, tf wallet juga agak lama",1,5,2.46.0,,,2.46.0,4/18/2024,"Purchases must have a minimum limit, sending a wallet also has a minimum, withdrawing the next deposit also takes a long time, prices are much lower than other apps, bugs, tf wallet also takes a while","['purchases', 'must', 'minimum', 'limit', 'sending', 'wallet', 'also', 'minimum', 'withdrawing', 'next', 'deposit', 'also', 'takes', 'long', 'time', 'prices', 'much', 'lower', 'apps', 'bugs', 'tf', 'wallet', 'also', 'takes']",Negative
5,cf2933c2-39d5-440b-befd-c7a3af62b83d,Wayan Yulianto,https://play-lh.googleusercontent.com/a/ACg8ocJ1K2gAZhyVpujvkqP51o3rnokuUDGcKohm0f7qrBr49tml-A=mo,Untuk exchange kripto lokal. Ini yg paling bad respon. Deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana. Customer service ngga berguna tidak bisa dihubungi. Sudah lewat email namun tidak ada respon.,1,3,2.44.0,,,2.44.0,4/18/2024,For local crypto exchanges. This is the worst response. Coin deposits from other wallets have not been received and I don't know where to complain. Customer service is useless and cannot be contacted. Already emailed but no response.,"['local', 'crypto', 'exchanges', 'worst', 'response', 'coin', 'deposits', 'wallets', 'received', 'dont', 'know', 'complain', 'customer', 'service', 'useless', 'contacted', 'already', 'emailed', 'response']",Negative
6,5e88d181-8b76-4141-86b3-426394d6c35d,Ade Sal Buang,https://play-lh.googleusercontent.com/a-/ALV-UjW6yTu3jzAaJntBPRG7g4CxXYc6gIh2rSbdd2fwGeGD6VpjGDTG,"Sejauh ini masih masih baik dan user frendly. Kalau boleh, tambahkan juga fitur web based. Supaya kami yg terbiasa trading dengan laptop, bisa terakomodir",1,6,2.46.0,,,2.46.0,11/4/2024,"So far it's still good and user friendly. If possible, also add web based features. So that those of us who are used to trading with laptops can be accommodated","['far', 'still', 'good', 'user', 'friendly', 'possible', 'also', 'add', 'web', 'based', 'features', 'us', 'used', 'trading', 'laptops', 'accommodated']",Positive
7,3e855316-9dd7-4f6f-ad8e-268e729211e2,Dadan Wardani,https://play-lh.googleusercontent.com/a-/ALV-UjViSkVYHmBjlzRIkEplo9axeYa0wnFHIeo3AFyR9VOUAD7nxVoz,"Payah banget nih aplikasi, bisa Nerima kripto dari wallet lain tapi gak bisa ngirim, gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget, banyak bug juga, nyesel banget gua pake nih aplikasi",1,19,2.43.0,,,2.43.0,4/3/2024,"This application is really bad, you can receive crypto from other wallets but you can't send it, it's not complete, some have addresses, some don't, plus the transaction fees are really expensive, there are lots of bugs too, I really regret using this application.","['application', 'really', 'bad', 'receive', 'crypto', 'wallets', 'cant', 'send', 'complete', 'addresses', 'dont', 'plus', 'transaction', 'fees', 'really', 'expensive', 'lots', 'bugs', 'really', 'regret', 'using', 'application']",Negative
8,7ff5b35e-2795-472a-8efa-9c8efcb47afc,Zidane Alzaidane,https://play-lh.googleusercontent.com/a-/ALV-UjVcIOQjfsUVYm-gI4Jx6lFHdcQW-ZuFR9KLbvoh8X3zsB-97JVK,"Kadang klo kita pakai limit order transaksi untuk status 'matched' lama bgt jadi harus menunggu waktu bahkan sampai terlewatkan timing in the market suatu asset, seperti nya disengaja ya seperti ditahan-tahan, saya masih B1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade!",1,58,2.42.0,,,2.42.0,10/2/2024,"Sometimes if we use a transaction limit order for 'matched' status, it takes a long time so we have to wait for time and even miss the timing in the market for an asset, it seems like it was intentional, like I was holding back, I'm still B1, I've been waiting for more than a day and I've lost my chance to make it. trade!","['sometimes', 'use', 'transaction', 'limit', 'order', 'matched', 'status', 'takes', 'long', 'time', 'wait', 'time', 'even', 'miss', 'timing', 'market', 'asset', 'seems', 'like', 'intentional', 'like', 'holding', 'back', 'im', 'still', 'b1', 'ive', 'waiting', 'day', 'ive', 'lost', 'chance', 'make', 'trade']",Positive
9,d2ce6683-773d-4cf3-afc6-296ccf9949be,ChandraFt,https://play-lh.googleusercontent.com/a-/ALV-UjVENoi92xkt1xBJFMEV8SQ9fceOq-9_-Wxba2b8-Ap9-rCLNfBw,"mohon maaf developer, mohon ya, kami para investor juga untuk entry atau exitnya harus cepat, gapakek lama harus nunggu proses withdraw lah, nunggu proses penarikan dan yang sejenisnya. mohon diperbaiki, masalahnya jika sudah waktunya exit dan di ajaib masih ada yg namanya ""proses withdraw"", ya keburu koin yang di targetkan sebelumnya untuk entry keburu ga dapet harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu, mohon dimengerti, terimakasih.",1,32,2.44.0,,,2.44.0,3/16/2024,"Sorry developer, please, we as investors also have to enter or exit quickly, it doesn't take a long time to wait for the withdrawal process, wait for the withdrawal process and the like. Please fix it, the problem is that if it's time to exit and miraculously there's still something called a ""withdrawal process"", so suddenly the coins that were previously targeted for entry don't get the target price due to the long wait for that kind of process, please understand, thank you.","['sorry', 'developer', 'please', 'investors', 'also', 'enter', 'exit', 'quickly', 'doesnt', 'take', 'long', 'time', 'wait', 'withdrawal', 'process', 'wait', 'withdrawal', 'process', 'like', 'please', 'fix', 'problem', 'time', 'exit', 'miraculously', 'theres', 'still', 'something', 'called', 'withdrawal', 'process', 'suddenly', 'coins', 'previously', 'targeted', 'entry', 'dont', 'get', 'target', 'price', 'due', 'long', 'wait', 'kind', 'process', 'please', 'understand', 'thank']",Positive
