transaksi nya cepat sih tidak tersedia laptop komputer komputer lihat grafik nya susah login website tidak saran tolong biarkan aplikasi laptop komputer komputer nya mempermudah traider grafik pergerakan harga koreksi ratingnya turunin kaspa koin tidak aplikasi lelet slow respon jaringan bagus keluhan tidak perbaiki,negative
kalau dibandingkan aplikasi crypto aplikasi terburuk transaksi loadingnya nilai pajak dibanding aplikasi tidak dipantau komputer tidak direkomendasi memakai aplikasi,negative
aplikasi manipulasi loss nya jual profit tidak menunggu loss jual pastikan loss profit apliksi curang,negative
jeleknya kalau pemeliharaan aset cryptonya beku perawatan jual beli tidak lakukan bangkai market crypto aktif jam nya perawatan aset cyrpto jangka perawatannya,positive
pembelian batas minimal kirim wallet minimalnya menarik deposit sebelah harga miring aplikasi bug tensorflow wallet,positive
exchange kripto lokal bad respon deposit coin wallet masuk pengaduan tidak customer service tidak berguna tidak dihubungi email tidak respon,negative
user frendly kalau tambahkan fitur web based terbiasa trading laptop terakomodir,positive
payah nih aplikasi menerima kripto wallet tidak mengirim tidak kumplit alamat address nya tidak ditambah biaya transaksi nya mahal bug menyesal pakai nih aplikasi,negative
kadang kalau kita pakai limit order transaksi status matched menunggu terlewatkan timing the market asset nya disengaja ya ditahan tahan b seharian menunggu kehilangan kesempatan trade,positive
mohon maaf developer mohon ya investor entry exitnya cepat gapakek menunggu proses withdraw menunggu proses penarikan sejenisnya mohon diperbaiki exit ajaib namanya proses withdraw ya keburu koin targetkan entry keburu tidak harga sesuai ditargetkan menunggu proses mohon dimengerti terima kasih,positive
penarikan tujuan rekeningnya automatis terpilih rekomendasi bukan tujuan kita pilih tidak mengakses saldo tarik kembalikan saldo,neutral
tolong kenapa tidak order jual coin naikÂ² nya coin berjalan bknnya coin berjalan grafik nya kenapa fitur jual tidak berfungsi limit order market order tidak berfungsi tidak take profit user,neutral
kecewa ajaib listing ondo terselesaikan menjual tidak membeli ondo ajaib tidak bertanggung tidak apa apa mengecewakan informasi tidak apapun saran teman mencari exchange terima kasih,negative
exchange buruk indonesia harga tidak sesuai realtime exchange selisih rupiah mahal exchange pindah pluang indodax murah,negative
ajaib crypto tolong kebijaksanaannya merefund reset bug aset ondo error system orang entry ondo harga tidak masuk akal,positive
tidak rekomendasi pakai aplikasi listing koin manipulasi harga mahal harga normal intinya beli koin coba bandingkan harga nya sebelah termakan fomo,negative
fitur nya merugikan costumer contoh potongan adm pajak persen persen kali lipat aplikasi sebelah wd dikenakan ribu sebelah fitur earn masuk fitur kripto kita tidak diapakan menarik kripto earn nya total masuk ear tidak diberitahu penahanan aset after all rugi aplikasi terima kasih ajaib pelajaran bye,positive
benarkan apk maintenance nya harga otomatis kasih harga palsu apk judi permainkan bandar aplikasi investasi tolong benarkan maintenance nya biar tidak gocek permainan,positive
saran ajaib kripto tidak rekomendasi orang belajar kripto hambatan temui harga pasar tidak sesuai penarikan susah semacamnya,negative
pembelian penjualan tidak sesuai potongan nya potong pajak kali penjualan suka hilang pajak potong pembelian harga beli beli bbrapa menit harga nya tidak beli,positive
menikmati fitur ajaib crypto kecewa tanpa alasan pesanan beli rejeck tidak pesanan beli coin harap tindak ajaib tidak kecewa aplikasi ajaib jelek aplikasi tidak menyediakan live chat melayani keluhan pengguna menannyakan aplikasi langsung,negative
kak kenapa limit order status updating ya jaring tidak kena order harga masuk dana limit order tidak batalkan ubah,positive
aplikasi nya real time candle harga tidak sinkron koin mohon perbaiki kriteria perbaiki bintang,negative
kenapa aplikasi ajaib kripto eror pas aplikasi kripto foto ktp foto mengapa tidak masuk sepuluh kali foto tolong aplikasi ajaib kripto pengguna masak erro aplikasi takut invetasi uang eror aplikasi nya,negative
aneh kali beli perbaikan sistem harga turun tidak masuk akal tak sesuai harga krypto aslinya,negative
tolong tambahkan fitur penarikan aplikasi dana deposit mohon pertimbangkan terima kasih,positive
transfer ondo exchange aplikasi ajaib kripto menerimanya wallet ajaib cripto berusaha menghubungi admin tidak bantuan kejelasan kendala alami,positive
ajaib kripto exchange aneh tetapkan harga jual sekian orderbook beda harganya otomatis target tidak kesampe sumpah exchange aneh,negative
coba pencet tombol fitur earn kawan aset kamu tahan kalau tarik prosesnya kesal tidak pemberitahuan aset ditahannya pokoknya dipencet earn nya takutnya bearish tidak buruÂ²dijual,positive
aplikasi cacat kalau sell harga lag pas harga turun jual mending apk sebelah,negative
eror delay ajaib ajaib coin lengkap fitur design ui jelek semoga ditingkatkan exchange kalau tidak niat mending tidak bikin aplikasi,neutral
apk nya bagus kekurangan nya tidak konfersi saldo nya domptnya tidak dompet btc eth usdt andai apk dompetnya konfersi saldo kecilnya apk keren daahh,positive
aplikasi exchange aneh harga beli pepe rupiah coin dijual rupiah bukan pergi the moon pergi uninstall biar tidak dikadalin hahaha,negative
penasaran kalau coba apk nya sesuai rating nya busuk apk nya sampah loh aplikasi investasi seburuk lambat tidak real time harga nya tidak cocok trading,negative
kenapa masuk akumulasi porto ya status tab transaksi match,neutral
aplikasi sampah orang depisot tarding seharian menunggu upgrade mnunggu trvrivikasi bagus triv reku indodax apk apk tidak jlas unistal,positive
ngebug varian aset kripto pas kirim wallet keterangan tidak aset kripto aneh,positive
koin vanry kirim aplikasi pintu e walet polygon matic tidak aplikasi ajaib min hubungin admin chat balesan,neutral
beamx coin kadang limit order nya kadang market order kenapa ya aset kripto nya normalÂ² kalau tidak perbaikan trading aplikasi sebelah deh stabil fair terima kasih,positive
lelet buy harga rendah turun sell ah cemen aplikasi lambat,negative
deposit nya cepat giliran withdraw nya balesannya kayak tidak bertanggung aduh parah sih kalau tidak dibalikin uang ku kalau dibalikin ku menaikkan bintang nya uang ku pulang,negative
